City,Airport Name,iata_code
Groningen,Groningen Airport Eelde,GRQ
Maastricht,Maastricht Aachen Airport,MST
Haugesund,Haugesund Airport,HAU
Oslo,Oslo Gardermoen Airport,OSL
Sandefjord,Sandefjord Torp Airport,TRF
Rygge,"Moss Airport, Rygge",RYG
Bydgoszcz,Bydgoszcz Ignacy Jan Paderewski Airport,BZG
Gdańsk,Gdańsk Lech Wałęsa Airport,GDN
Katowice,Katowice Airport,KTW
Kraków,Kraków John Paul II International Airport,KRK
Łódź,Łódź Władysław Reymont Airport,LCJ
Lublin,Lublin Airport,LUZ
Olsztyn,Olsztyn-Mazury Airport,SZY
Poznań,Poznań–Ławica Airport,POZ
Rzeszów,Rzeszów–Jasionka Airport,RZE
Szczecin,"""Solidarity"" Szczecin–Goleniów Airport",SZZ
Warsaw,Warsaw Chopin Airport,WAW
,Warsaw Modlin Airport,WMI
Wrocław,Wrocław Airport,WRO
Faro,Gago Coutinho Airport,FAO
Funchal,Cristiano Ronaldo International Airport,FNC
Lisbon,Humberto Delgado Airport,LIS
Ponta Delgada,João Paulo II Airport,PDL
Porto,Francisco Sá Carneiro Airport,OPO
Terceira Island,Lajes Airport,TER
Arad,Arad International Airport,ARW
Bucharest,Bucharest Henri Coandă International Airport,OTP
Cluj-Napoca,Avram Iancu Cluj International Airport,CLJ
Constanța,Mihail Kogălniceanu International Airport,CND
Craiova,Craiova International Airport,CRA
Iași,Iași International Airport,IAS
Oradea,Oradea International Airport,OMR
Sibiu,Sibiu International Airport,SBZ
Suceava,Suceava Ștefan cel Mare International Airport,SCV
Târgu Mureș,Târgu Mureș International Airport,TGM
Timișoara,Timișoara Traian Vuia International Airport,TSR
Niš,Niš Constantine the Great Airport,INI
Bratislava,Bratislava Airport,BTS
Košice,Košice International Airport,KSC
Poprad,Poprad–Tatry Airport,TAT
Maribor,Maribor Edvard Rusjan Airport,MBX
Alicante,Alicante–Elche Miguel Hernández Airport,ALC
Almería,Almería Airport,LEI
Asturias,Asturias Airport,OVD
Barcelona,Josep Tarradellas Barcelona–El Prat Airport,BCN
Bilbao,Bilbao Airport,BIO
Castellón,Castellón–Costa Azahar Airport,CDT
Ciudad Real,Ciudad Real Central Airport,CQM
Fuerteventura,Fuerteventura Airport,FUE
Girona,Girona–Costa Brava Airport,GRO
Granada,Granada Airport,GRX
Ibiza,Ibiza Airport,IBZ
Jerez de la Frontera,Jerez Airport,XRY
Lanzarote,Lanzarote Airport,ACE
La Palma,La Palma Airport,SPC
Las Palmas,Gran Canaria Airport,LPA
Madrid,Adolfo Suárez Madrid–Barajas Airport,MAD
Málaga,Málaga Airport,AGP
Menorca,Menorca Airport,MAH
Murcia,Región de Murcia International Airport,RMU
,Murcia–San Javier Airport,MJV
Palma de Mallorca,Palma de Mallorca Airport,PMI
Reus,Reus Airport,REU
Santander,Santander Airport,SDR
Santiago de Compostela,Santiago–Rosalía de Castro Airport,SCQ
Seville,Seville Airport,SVQ
Tenerife,Tenerife North Airport,TFN
,Tenerife South Airport,TFS
Valencia,Valencia Airport,VLC
Valladolid,Valladolid Airport,VLL
Vigo,Vigo–Peinador Airport,VGO
Vitoria-Gasteiz,Vitoria Airport,VIT
Zaragoza,Zaragoza Airport,ZAZ
Ängelholm,Ängelholm–Helsingborg Airport,AGH
Gothenburg,Göteborg Landvetter Airport,GOT
,Säve Airport,GSE
Jönköping,Jönköping Airport,JKG
Kalmar,Kalmar Airport,KLR
Karlstad,Karlstad Airport,KSD
Kristianstad,Kristianstad Airport,KID
Luleå,Luleå Airport,LLA
Malmö,Malmö Airport,MMX
Norrköping,Norrköping Airport,NRK
Örebro,Örebro Airport,ORB
Skellefteå,Skellefteå Airport,SFT
Stockholm,Stockholm Arlanda Airport,ARN
,Stockholm Skavsta Airport,NYO
Västerås,Stockholm Västerås Airport,VST
Växjö,Växjö Småland Airport,VXO
Visby,Visby Airport,VBY
"Basel
Mulhouse
Freiburg",EuroAirport Basel Mulhouse Freiburg,BSL
Bodrum,Milas–Bodrum Airport,BJV
Dalaman,Dalaman Airport,DLM
Kharkiv,Kharkiv International Airport,HRK
Kyiv,Boryspil International Airport,KBP
Kherson,Kherson International Airport,KHE
Lviv,Lviv Danylo Halytskyi International Airport,LWO
Odesa,Odesa International Airport,ODS
Aberdeen,Aberdeen Airport,ABZ
Belfast,George Best Belfast City Airport,BHD
,Belfast International Airport,BFS
Birmingham,Birmingham Airport,BHX
Blackpool,Blackpool Airport,BLK
Bournemouth,Bournemouth Airport,BOH
Bristol,Bristol Airport,BRS
Cardiff,Cardiff Airport,CWL
Derry,City of Derry Airport,LDY
Doncaster/Sheffield,Doncaster Sheffield Airport,DSA
East Midlands,East Midlands Airport,EMA
Edinburgh,Edinburgh Airport,EDI
Exeter,Exeter Airport,EXT
Glasgow,Glasgow Airport,GLA
,Glasgow Prestwick Airport,PIK
Humberside,Humberside Airport,HUY
Inverness,Inverness Airport,INV
Leeds/Bradford,Leeds Bradford Airport,LBA
Liverpool,Liverpool John Lennon Airport,LPL
London,Gatwick Airport,LGW
,Luton Airport,LTN
,London Southend Airport,SEN
,London Stansted Airport,STN
Manchester,Manchester Airport,MAN
Newcastle upon Tyne,Newcastle International Airport,NCL
Newquay,Newquay Airport,NQY
Norwich,Norwich Airport,NWI
Teesside,Teesside International Airport,MME
Dakhla,Dakhla Airport,VIL
